INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Alabama A & M University,Normal,AL,Public,Southeast,0.4726,851.0,0.5418,0.2875,0.6877,0.6991,9881.0,0.9239649682,25341.5,32600.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","medium, highly residential",13242.0,0.4061963190184049,medium,highly residential,full-time,inclusive,lower transfer-in
University of Alabama at Birmingham,Birmingham,AL,Public,Southeast,0.8357,1107.0,0.2496,0.3958,0.8156,0.4493,8125.0,0.9162048326,36355.0,42800.0,City: Midsize,Doctoral Universities: Very High Research Activity,"medium full-time, selective, higher transfer-in","large, primarily nonresidential",16955.0,0.3961448598130841,large,primarily nonresidential,medium full-time,selective,higher transfer-in
Amridge University,Montgomery,AL,Private nonprofit,Southeast,0.875,,0.4747,0.0,1.0,0.7022,9500.0,0.9371069182,24086.0,39000.0,City: Midsize,Master's Colleges & Universities: Small Programs,higher part-time,"very small, primarily nonresidential",20100.0,0.5153846153846153,very small,primarily nonresidential,higher part-time,,
University of Alabama in Huntsville,Huntsville,AL,Public,Southeast,0.7209,1145.0,0.2342,0.4755,0.7556,0.4258,8608.0,0.9201091193,35039.0,48300.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","medium, primarily residential",16876.0,0.34939958592132503,medium,primarily residential,full-time,more selective,higher transfer-in
Alabama State University,Montgomery,AL,Public,Southeast,0.4625,805.0,0.6953,0.2174,0.5335,0.8514,8203.5,0.9395458567,21500.0,27600.0,City: Midsize,Doctoral/Professional Universities,"full-time, inclusive, lower transfer-in","medium, highly residential",14000.0,0.5072463768115942,medium,highly residential,full-time,inclusive,lower transfer-in
The University of Alabama,Tuscaloosa,AL,Public,Southeast,0.587,1122.0,0.1723,0.6593,0.8349,0.3109,11437.5,0.9410714286,56982.5,43100.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",20496.0,0.4755452436194896,large,primarily residential,full-time,selective,lower transfer-in
Athens State University,Athens,AL,Public,Southeast,,,0.3466,,,0.5256,9666.0,0.8378378378,28070.0,42100.0,Town: Fringe,Baccalaureate Colleges: Diverse Fields,higher part-time,"small, primarily nonresidential",,,small,primarily nonresidential,higher part-time,,
Auburn University at Montgomery,Montgomery,AL,Public,Southeast,0.9492,970.0,0.2967,0.2771,0.5772,0.4907,6645.0,0.9229033471,25497.0,36100.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",13372.0,0.37041551246537396,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Auburn University,Auburn,AL,Public,Southeast,0.795,1184.0,0.1302,0.6709,0.8618,0.4281,11000.0,0.9326887997,69925.0,47700.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, more selective, lower transfer-in","large, primarily nonresidential",17966.0,0.3766457023060797,large,primarily nonresidential,full-time,more selective,lower transfer-in
Birmingham-Southern College,Birmingham,AL,Private nonprofit,Southeast,0.5871,1162.0,0.1693,0.7203,0.8093,0.4129,11625.0,0.969858156,64360.5,46800.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",36504.0,0.78,small,highly residential,full-time,selective,lower transfer-in
South University-Montgomery,Montgomery,AL,Private for-profit,Southeast,0.8855,,0.6828,0.3333,0.45,0.8143,6334.0,0.926376399,18367.0,31200.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"medium full-time, inclusive, higher transfer-in","very small, primarily nonresidential",25633.0,0.8215705128205129,very small,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Faulkner University,Montgomery,AL,Private nonprofit,Southeast,0.5826,973.0,0.484,0.3522,0.6926,0.8147,10000.0,0.9442523768,22378.0,39400.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","small, primarily residential",22955.0,0.5826142131979696,small,primarily residential,medium full-time,inclusive,higher transfer-in
Huntingdon College,Montgomery,AL,Private nonprofit,Southeast,0.6652,1012.0,0.1931,0.4581,0.6324,0.6227,9500.0,0.9308357349,45628.5,39100.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",28842.0,0.7376470588235294,very small,highly residential,full-time,inclusive,lower transfer-in
Jacksonville State University,Jacksonville,AL,Public,Southeast,0.8763,925.0,0.3689,0.3496,0.6806,0.6192,7500.0,0.9197982346,29783.0,38000.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",15280.0,0.40210526315789474,medium,primarily residential,full-time,inclusive,higher transfer-in
University of West Alabama,Livingston,AL,Public,Southeast,0.6208,1190.0,0.4299,0.3438,0.6548,0.5594,6583.5,0.9224860335,20718.0,37700.0,Rural: Remote,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","medium, primarily residential",13621.0,0.36129973474801064,medium,primarily residential,medium full-time,inclusive,higher transfer-in
Miles College,Fairfield,AL,Private nonprofit,Southeast,,,0.7812,0.2075,0.7401,0.9145,8500.0,0.9593771158,19235.0,26600.0,Suburb: Large,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","small, highly residential",14506.0,0.5453383458646617,small,highly residential,full-time,inclusive,lower transfer-in
University of Mobile,Mobile,AL,Private nonprofit,Southeast,0.7764,1028.0,0.3783,0.6165,0.7247,0.7271,12500.0,0.9516648765,32598.0,40300.0,Rural: Fringe,Master's Colleges & Universities: Small Programs,"full-time, selective, higher transfer-in","small, highly residential",26345.0,0.6537220843672457,small,highly residential,full-time,selective,higher transfer-in
University of Montevallo,Montevallo,AL,Public,Southeast,0.685,1050.0,0.2858,0.4459,0.787,0.5054,9430.5,0.9151823579,38693.0,35000.0,Suburb: Large,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, highly residential",14663.0,0.4189428571428571,small,highly residential,full-time,inclusive,higher transfer-in
University of North Alabama,Florence,AL,Public,Southeast,0.8227,988.0,0.3013,0.3967,0.7095,0.4002,6500.0,0.8737391304,33714.0,37400.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",11725.0,0.3135026737967914,medium,primarily residential,full-time,inclusive,higher transfer-in
Oakwood University,Huntsville,AL,Private nonprofit,Southeast,0.5611,890.0,0.4047,0.4015,0.7237,0.6481,9875.0,0.9432485323,40652.5,35900.0,City: Midsize,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, inclusive, lower transfer-in","small, highly residential",30842.0,0.859108635097493,small,highly residential,full-time,inclusive,lower transfer-in
Samford University,Birmingham,AL,Private nonprofit,Southeast,0.8352,1140.0,0.1113,0.7405,0.822,0.3817,11625.0,0.9482936918,70000.0,45900.0,Suburb: Large,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","medium, highly residential",31214.0,0.6800435729847495,medium,highly residential,full-time,selective,lower transfer-in
University of South Alabama,Mobile,AL,Public,Southeast,0.8965,990.0,0.2535,0.3703,0.6708,0.4399,6750.0,0.9104173736,31700.5,39600.0,City: Midsize,Doctoral Universities: High Research Activity,"full-time, selective, higher transfer-in","large, primarily residential",13581.0,0.34295454545454546,large,primarily residential,full-time,selective,higher transfer-in
Spring Hill College,Mobile,AL,Private nonprofit,Southeast,0.5501,1084.0,0.2602,0.6071,0.7755,0.6381,14625.5,0.9597615499,54395.0,41900.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, selective, lower transfer-in","small, highly residential",36565.0,0.8726730310262529,small,highly residential,full-time,selective,lower transfer-in
Stillman College,Tuscaloosa,AL,Private nonprofit,Southeast,0.4366,847.0,0.7853,0.2063,0.5464,0.8779,10000.0,0.9489904357,22038.0,28500.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, selective, higher transfer-in","very small, highly residential",22006.0,0.772140350877193,very small,highly residential,full-time,selective,higher transfer-in
Talladega College,Talladega,AL,Private nonprofit,Southeast,,,0.6073,0.2207,0.5357,0.3677,9500.0,0.8485477178,18004.5,32300.0,Town: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","small, highly residential",15900.0,0.49226006191950467,small,highly residential,full-time,inclusive,higher transfer-in
Troy University,Troy,AL,Public,Southeast,0.6624,970.0,0.3357,0.3702,0.7187,0.5086,6607.0,0.9219388589,22776.5,39700.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","large, primarily nonresidential",13855.0,0.348992443324937,large,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Tuskegee University,Tuskegee,AL,Private nonprofit,Southeast,0.5898,906.0,0.5356,0.4053,0.6501,0.7887,11500.0,0.9603283174,32358.5,36200.0,Town: Distant,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, lower transfer-in","small, highly residential",27570.0,0.7616022099447514,small,highly residential,full-time,inclusive,lower transfer-in
University of Alaska Anchorage,Anchorage,AK,Public,Far West,0.7248,960.0,0.1342,0.2531,0.7335,0.245,5500.0,0.806402439,32710.0,38800.0,City: Large,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",12731.0,0.3281185567010309,medium,primarily nonresidential,higher part-time,,
University of Alaska Fairbanks,Fairbanks,AK,Public,Far West,0.7446,1023.0,0.1405,0.2848,0.802,0.2307,5500.0,0.8064118372,34268.0,36200.0,Suburb: Small,Doctoral Universities: High Research Activity,higher part-time,"medium, primarily nonresidential",14565.0,0.4023480662983425,medium,primarily nonresidential,higher part-time,,
Alaska Pacific University,Anchorage,AK,Private nonprofit,Far West,0.6341,1103.0,0.2071,0.4583,0.7385,0.4513,9500.0,0.9176954733,42630.0,45700.0,City: Large,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, primarily residential",35594.0,0.7788621444201312,very small,primarily residential,full-time,inclusive,higher transfer-in
Arizona State University Campus Immersion,Tempe,AZ,Public,Southwest,0.9034,1076.0,0.2282,0.5576,0.8116,0.3801,9500.0,0.8766934558,39771.5,47900.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, selective, higher transfer-in","large, primarily residential",17021.0,0.3553444676409186,large,primarily residential,full-time,selective,higher transfer-in
University of Arizona,Tucson,AZ,Public,Southwest,0.78,1099.0,0.2207,0.5839,0.7812,0.3261,10000.0,0.8475120385,43180.0,45800.0,City: Large,Doctoral Universities: Very High Research Activity,"full-time, selective, higher transfer-in","large, primarily nonresidential",18008.0,0.3931877729257642,large,primarily nonresidential,full-time,selective,higher transfer-in
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Private nonprofit,Southwest,0.8479,1123.0,0.2329,0.5533,0.7524,0.6208,6250.0,0.853859497,42561.0,61800.0,Rural: Fringe,Baccalaureate Colleges: Diverse Fields,"full-time, selective, lower transfer-in","small, primarily residential",41392.0,0.6697734627831715,small,primarily residential,full-time,selective,lower transfer-in
Grand Canyon University,Phoenix,AZ,Private for-profit,Southwest,0.9998,,0.4217,0.4185,0.3878,0.7454,6334.0,0.9687152301,21749.0,47900.0,City: Large,Doctoral/Professional Universities,higher part-time,"large, primarily nonresidential",29860.0,0.6233820459290188,large,primarily nonresidential,higher part-time,,
Northern Arizona University,Flagstaff,AZ,Public,Southwest,0.7291,1053.0,0.2638,0.5005,0.7153,0.4727,9000.0,0.8982881169,43534.0,42400.0,City: Small,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily residential",16653.0,0.39275943396226415,large,primarily residential,full-time,inclusive,higher transfer-in
Prescott College,Prescott,AZ,Private nonprofit,Southwest,0.8129,1093.0,0.3315,0.3043,0.6966,0.5354,12163.0,0.9373913043,28469.0,39000.0,City: Small,Master's Colleges & Universities: Medium Programs,"medium full-time, selective, higher transfer-in","very small, primarily residential",33566.0,0.8606666666666667,very small,primarily residential,medium full-time,selective,higher transfer-in
Arizona Christian University,Glendale,AZ,Private nonprofit,Southwest,0.6262,1027.0,0.357,0.4286,0.6765,0.6352,10000.0,0.9,44390.5,33200.0,Suburb: Large,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",25112.0,0.7563855421686747,very small,highly residential,full-time,inclusive,higher transfer-in
University of Arkansas at Little Rock,Little Rock,AR,Public,Southeast,,,0.3326,0.1693,0.6548,0.7353,7000.0,0.8870836718,25280.5,35300.0,City: Midsize,Doctoral Universities: High Research Activity,"medium full-time, inclusive, higher transfer-in","medium, primarily nonresidential",19863.0,0.5626912181303116,medium,primarily nonresidential,medium full-time,inclusive,higher transfer-in
University of Arkansas for Medical Sciences,Little Rock,AR,Public,Southeast,,,0.3024,,,0.6439,11000.0,0.9510567297,31397.0,62600.0,City: Midsize,Special Focus Four-Year: Engineering Schools,"medium full-time, inclusive, higher transfer-in","small, primarily nonresidential",,,small,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Lyon College,Batesville,AR,Private nonprofit,Southeast,0.6718,1131.0,0.321,0.4583,0.6239,0.6114,12725.0,0.8929577465,37923.0,38600.0,Town: Remote,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","very small, highly residential",29024.0,0.7519170984455958,very small,highly residential,full-time,selective,lower transfer-in
University of Arkansas,Fayetteville,AR,Public,Southeast,0.5609,1175.0,0.1846,0.5912,0.8315,0.3807,10500.0,0.884669728,48655.5,43800.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, selective, lower transfer-in","large, primarily residential",18461.0,0.42148401826484017,large,primarily residential,full-time,selective,lower transfer-in
University of Arkansas at Pine Bluff,Pine Bluff,AR,Public,Southeast,0.3272,784.0,0.6691,0.2503,0.6394,0.7347,9305.0,0.9028239203,21002.0,29000.0,City: Small,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","small, highly residential",14478.0,0.49924137931034485,small,highly residential,full-time,inclusive,lower transfer-in
Arkansas State University,Jonesboro,AR,Public,Southeast,0.7703,990.0,0.4168,0.3724,0.6792,0.5778,5838.0,0.8146114865,24664.0,33300.0,City: Small,Doctoral Universities: High Research Activity,"medium full-time, selective, higher transfer-in","medium, primarily residential",16351.0,0.491021021021021,medium,primarily residential,medium full-time,selective,higher transfer-in
Arkansas Tech University,Russellville,AR,Public,Southeast,0.9367,1069.0,0.378,0.4381,0.7135,0.4705,5750.0,0.8124162573,27476.5,36500.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","medium, primarily residential",13853.0,0.37953424657534246,medium,primarily residential,full-time,inclusive,lower transfer-in
University of Central Arkansas,Conway,AR,Public,Southeast,0.5804,1105.0,0.2909,0.4093,0.7133,0.4552,9250.0,0.8811998111,34424.0,38900.0,City: Small,Doctoral/Professional Universities,"full-time, selective, higher transfer-in","medium, primarily residential",17705.0,0.4551413881748072,medium,primarily residential,full-time,selective,higher transfer-in
Central Baptist College,Conway,AR,Private nonprofit,Southeast,0.7978,1125.0,0.3918,0.2673,0.5922,0.5152,8250.0,0.8820512821,35692.5,35100.0,City: Small,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, primarily residential",17484.0,0.49811965811965814,very small,primarily residential,full-time,inclusive,higher transfer-in
Crowley's Ridge College,Paragould,AR,Private nonprofit,Southeast,,,0.48,0.4783,0.4355,0.5886,8878.0,0.8560606061,25564.0,27700.0,Rural: Fringe,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",19460.0,0.7025270758122744,very small,highly residential,full-time,inclusive,lower transfer-in
Harding University,Searcy,AR,Private nonprofit,Southeast,0.7259,1125.0,0.2369,0.6118,0.8145,0.5829,14000.0,0.9428873612,66642.0,39300.0,Town: Distant,Doctoral/Professional Universities,"full-time, selective, lower transfer-in","medium, highly residential",22200.0,0.5648854961832062,medium,highly residential,full-time,selective,lower transfer-in
Henderson State University,Arkadelphia,AR,Public,Southeast,0.313,1048.0,0.4174,0.3474,0.6069,0.5157,7221.0,0.8314977974,29851.5,37300.0,Town: Distant,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, highly residential",14629.0,0.3921983914209115,small,highly residential,full-time,inclusive,higher transfer-in
Hendrix College,Conway,AR,Private nonprofit,Southeast,0.813,1291.0,0.1706,0.6554,0.8822,0.4903,14661.5,0.9435028249,79000.0,40700.0,City: Small,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",37758.0,0.9277149877149877,small,highly residential,full-time,selective,lower transfer-in
John Brown University,Siloam Springs,AR,Private nonprofit,Southeast,0.7281,1151.0,0.2329,0.6423,0.7645,0.5641,13266.0,0.9304257529,47304.0,46000.0,Town: Distant,Master's Colleges & Universities: Medium Programs,"full-time, selective, higher transfer-in","small, highly residential",28196.0,0.6129565217391304,small,highly residential,full-time,selective,higher transfer-in
Ouachita Baptist University,Arkadelphia,AR,Private nonprofit,Southeast,0.7343,1097.0,0.205,0.5452,0.7376,0.4843,9866.0,0.8457943925,57910.0,39000.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",27430.0,0.7033333333333334,small,highly residential,full-time,selective,lower transfer-in
University of the Ozarks,Clarksville,AR,Private nonprofit,Southeast,0.8898,1020.0,0.2978,0.4223,0.6856,0.4163,8750.0,0.8506944444,44632.5,34900.0,Town: Remote,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, lower transfer-in","very small, highly residential",27672.0,0.7928939828080229,very small,highly residential,full-time,inclusive,lower transfer-in
Philander Smith College,Little Rock,AR,Private nonprofit,Southeast,0.6925,908.0,0.7802,0.2117,0.7163,0.9489,12500.0,0.9541484716,22513.0,28200.0,City: Midsize,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",19428.0,0.688936170212766,very small,highly residential,full-time,inclusive,higher transfer-in
Williams Baptist University,Walnut Ridge,AR,Private nonprofit,Southeast,0.6418,1010.0,0.4446,0.5739,0.6434,0.6393,9874.0,0.867768595,34676.0,31300.0,Rural: Distant,Baccalaureate Colleges: Diverse Fields,"full-time, inclusive, higher transfer-in","very small, highly residential",18965.0,0.6059105431309905,very small,highly residential,full-time,inclusive,higher transfer-in
Southern Arkansas University Main Campus,Magnolia,AR,Public,Southeast,0.7376,990.0,0.5165,0.3162,0.6282,0.6622,6250.0,0.8274143302,24316.0,35600.0,Town: Remote,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","medium, highly residential",14881.0,0.4180056179775281,medium,highly residential,full-time,inclusive,lower transfer-in
University of Arkansas-Fort Smith,Fort Smith,AR,Public,Southeast,0.6137,1010.0,0.3769,0.1848,0.6626,0.361,4798.0,0.7114989733,25256.5,28700.0,City: Small,Baccalaureate Colleges: Diverse Fields,"medium full-time, inclusive, higher transfer-in","medium, primarily nonresidential",12811.0,0.44637630662020905,medium,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Academy of Art University,San Francisco,CA,Private for-profit,Far West,,,0.2721,0.3349,0.5672,0.5272,8250.0,0.973869099,28507.0,36400.0,City: Large,Master's Colleges & Universities: Larger Programs,higher part-time,"medium, primarily nonresidential",32267.0,0.8864560439560439,medium,primarily nonresidential,higher part-time,,
Art Center College of Design,Pasadena,CA,Private nonprofit,Far West,0.6631,,0.3585,0.6774,0.878,0.6905,19125.0,0.9381443299,24646.0,49400.0,City: Midsize,Master's Colleges & Universities: Small Programs,"full-time, selective, higher transfer-in","small, primarily nonresidential",52008.0,1.0527935222672065,small,primarily nonresidential,full-time,selective,higher transfer-in
Azusa Pacific University,Azusa,CA,Private nonprofit,Far West,0.626,1087.0,0.1945,0.6633,0.8174,0.6062,12615.0,0.9583970633,63191.0,53800.0,Suburb: Large,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","medium, highly residential",38918.0,0.7233828996282528,medium,highly residential,full-time,inclusive,higher transfer-in
Biola University,La Mirada,CA,Private nonprofit,Far West,0.815,1286.0,0.2459,0.7095,0.8268,0.7089,13500.0,0.9643792562,64626.0,41200.0,Suburb: Large,Doctoral/Professional Universities,"full-time, selective, higher transfer-in","medium, highly residential",38702.0,0.939368932038835,medium,highly residential,full-time,selective,higher transfer-in
California Baptist University,Riverside,CA,Private nonprofit,Far West,0.7382,1010.0,0.3023,0.5845,0.71,0.7351,12000.0,0.9539653601,51240.0,43800.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily residential",34776.0,0.793972602739726,medium,primarily residential,full-time,inclusive,higher transfer-in
California College of the Arts,San Francisco,CA,Private nonprofit,Far West,0.7487,,0.2882,0.5,0.7236,0.6807,16938.0,0.9274873524,41194.0,31000.0,City: Large,"Special Focus Four-Year: Arts, Music & Design Schools","full-time, inclusive, higher transfer-in","small, highly residential",45609.0,1.471258064516129,small,highly residential,full-time,inclusive,higher transfer-in
California Institute of Technology,Pasadena,CA,Private nonprofit,Far West,0.1527,1514.0,0.1118,0.8895,0.9831,0.3333,5500.0,0.7835497835,86622.0,90200.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, more selective, lower transfer-in","small, highly residential",48990.0,0.5431263858093126,small,highly residential,full-time,more selective,lower transfer-in
California Lutheran University,Thousand Oaks,CA,Private nonprofit,Far West,0.6224,1100.0,0.1689,0.6339,0.79,0.5481,12000.0,0.9524904215,66755.0,55300.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","medium, highly residential",40789.0,0.7375949367088608,medium,highly residential,full-time,selective,higher transfer-in
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Public,Far West,0.3334,1205.0,0.1483,0.7166,0.9127,0.3284,11796.0,0.8763040238,69720.0,61400.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, more selective, lower transfer-in","large, primarily residential",18978.0,0.30908794788273614,large,primarily residential,full-time,more selective,lower transfer-in
California State University-Bakersfield,Bakersfield,CA,Public,Far West,0.6084,889.0,0.5006,0.3838,0.7392,0.5534,6999.5,0.7285892634,25953.0,51500.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","large, primarily nonresidential",13574.0,0.2635728155339806,large,primarily nonresidential,full-time,selective,higher transfer-in
California State University-Stanislaus,Turlock,CA,Public,Far West,0.6578,948.0,0.4202,0.4955,0.8254,0.4647,8250.0,0.7290322581,30750.0,45500.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","medium, primarily nonresidential",13718.0,0.3014945054945055,medium,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-San Bernardino,San Bernardino,CA,Public,Far West,0.2408,894.0,0.4561,0.4547,0.8314,0.5602,11000.0,0.7849183726,29614.5,51200.0,City: Midsize,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",15194.0,0.2967578125,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State Polytechnic University-Pomona,Pomona,CA,Public,Far West,0.528,1042.0,0.3157,0.5293,0.8475,0.3241,10500.0,0.7140423115,31841.0,54900.0,Suburb: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",13386.0,0.24382513661202185,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-Chico,Chico,CA,Public,Far West,0.8008,1014.0,0.2856,0.5797,0.8225,0.4233,9716.0,0.8464957265,39924.5,48300.0,City: Midsize,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",17376.0,0.35975155279503107,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-Dominguez Hills,Carson,CA,Public,Far West,0.4974,804.0,0.3906,0.349,0.6828,0.4911,5542.0,0.7108008075,20796.0,49900.0,City: Small,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","large, primarily nonresidential",9400.0,0.18837675350701402,large,primarily nonresidential,medium full-time,inclusive,higher transfer-in
California State University-Fresno,Fresno,CA,Public,Far West,0.7014,926.0,0.4106,0.4777,0.8008,0.3892,9609.5,0.6939086294,29445.0,46600.0,City: Large,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",14115.0,0.3028969957081545,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-Fullerton,Fullerton,CA,Public,Far West,0.5959,983.0,0.2515,0.5165,0.8022,0.2968,9664.0,0.6850533808,30815.5,48900.0,Suburb: Large,Doctoral Universities: High Research Activity,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",12177.0,0.24901840490797547,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-East Bay,Hayward,CA,Public,Far West,0.7188,892.0,0.2999,0.4762,0.7117,0.3713,8667.5,0.7237138403,23696.0,51600.0,Suburb: Large,Doctoral Universities: High Research Activity,"full-time, selective, higher transfer-in","large, primarily nonresidential",15071.0,0.29207364341085273,large,primarily nonresidential,full-time,selective,higher transfer-in
California State University-Long Beach,Long Beach,CA,Public,Far West,0.4199,1010.0,0.3119,0.5442,0.8651,0.3512,8687.5,0.7295785155,31321.5,50600.0,City: Large,Doctoral Universities: High Research Activity,"full-time, selective, higher transfer-in","large, primarily nonresidential",13999.0,0.2766600790513834,large,primarily nonresidential,full-time,selective,higher transfer-in
California State University-Los Angeles,Los Angeles,CA,Public,Far West,0.7651,846.0,0.4709,0.3372,0.7422,0.3759,5500.0,0.630628545,20614.0,48300.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",11472.0,0.23751552795031056,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-Northridge,Northridge,CA,Public,Far West,0.7475,919.0,0.3556,0.4373,0.7134,0.2966,8159.0,0.6941150637,25919.5,47600.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",16759.0,0.3520798319327731,large,primarily nonresidential,full-time,inclusive,higher transfer-in
California State University-Sacramento,Sacramento,CA,Public,Far West,0.669,948.0,0.322,0.4389,0.7879,0.3905,10074.0,0.7446036954,28151.0,50500.0,City: Large,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","large, primarily nonresidential",17102.0,0.3386534653465347,large,primarily nonresidential,full-time,inclusive,higher transfer-in
University of California-Berkeley,Berkeley,CA,Public,Far West,0.2146,1318.0,0.2977,0.9017,0.9637,0.3339,12127.0,0.804820095,37000.0,64000.0,City: Midsize,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","large, primarily residential",26275.0,0.410546875,large,primarily residential,full-time,more selective,higher transfer-in
University of California-Davis,Davis,CA,Public,Far West,0.5257,1166.0,0.3146,0.7983,0.9233,0.4134,10000.0,0.8714025891,39235.0,59300.0,Suburb: Small,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","large, primarily residential",24599.0,0.414822934232715,large,primarily residential,full-time,more selective,higher transfer-in
University of California-Irvine,Irvine,CA,Public,Far West,0.4872,1172.0,0.2516,0.817,0.9426,0.3493,11625.0,0.8291656351,44641.0,57500.0,City: Large,Doctoral Universities: Very High Research Activity,"full-time, more selective, higher transfer-in","large, primarily residential",23283.0,0.4049217391304348,large,primarily residential,full-time,more selective,higher transfer-in
