INSTNM,CITY,STABBR,CONTROL,REGION,ADM_RATE,SAT_AVG,PCTPELL,C150_4,RET_FT4,PCTFLOAN,DEBT_MDN,LOAN_EVER,MD_FAMINC,MD_EARN,LOCALE,CCBASIC,CCUGPROF,CCSIZSET,COSTT4,cost_to_earnings,SIZE,SETTING,FTIME,SEL,TRNS
Salisbury University,Salisbury,MD,Public,Mid East,0.535,1124.0,0.1567,0.661,0.7998,0.4898,9413.0,0.9370992366,77980.0,49300.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","medium, primarily residential",17996.0,0.36503042596348884,medium,primarily residential,full-time,selective,higher transfer-in
St. Mary's College of Maryland,St. Mary's City,MD,Public,Mid East,0.5182,1239.0,0.1089,0.7933,0.9079,0.4485,14312.0,0.9548286604,94824.0,51700.0,Suburb: Small,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","small, highly residential",24725.0,0.47823984526112184,small,highly residential,full-time,selective,lower transfer-in
St. John's College,Annapolis,MD,Private nonprofit,Mid East,0.8051,,0.1881,0.6028,0.8235,0.5746,13455.0,,70625.5,32700.0,Suburb: Large,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, selective, lower transfer-in","very small, highly residential",50118.0,1.5326605504587156,very small,highly residential,full-time,selective,lower transfer-in
Towson University,Towson,MD,Public,Mid East,0.6287,1073.0,0.155,0.7278,0.8353,0.3914,9150.0,0.9172586711,69566.0,51400.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, selective, higher transfer-in","large, primarily residential",18091.0,0.35196498054474706,large,primarily residential,full-time,selective,higher transfer-in
Stevenson University,Owings Mills,MD,Private nonprofit,Mid East,0.571,1002.0,0.1911,0.5807,0.7939,0.5417,11315.0,0.9386947924,60120.0,51700.0,Rural: Fringe,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, higher transfer-in","small, highly residential",31722.0,0.61357833655706,small,highly residential,full-time,inclusive,higher transfer-in
Washington College,Chestertown,MD,Private nonprofit,Mid East,0.7203,1138.0,0.0935,0.7867,0.8361,0.5867,14625.0,,95783.0,49400.0,Town: Distant,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, inclusive, lower transfer-in","small, highly residential",44760.0,0.9060728744939271,small,highly residential,full-time,inclusive,lower transfer-in
McDaniel College,Westminster,MD,Private nonprofit,Mid East,0.7923,1129.0,0.18,0.7007,0.8177,0.5829,14765.0,0.9536152797,76350.0,49900.0,Suburb: Small,Master's Colleges & Universities: Larger Programs,"full-time, inclusive, lower transfer-in","small, highly residential",39630.0,0.7941883767535071,small,highly residential,full-time,inclusive,lower transfer-in
American International College,Springfield,MA,Private nonprofit,New England,0.791,916.0,0.4209,0.4312,0.6092,0.765,12250.0,0.9745390694,38129.0,44200.0,City: Midsize,Doctoral/Professional Universities,"full-time, inclusive, lower transfer-in","small, highly residential",36802.0,0.8326244343891402,small,highly residential,full-time,inclusive,lower transfer-in
Amherst College,Amherst,MA,Private nonprofit,New England,0.1598,1425.0,0.1703,0.9393,0.9635,0.1538,6740.0,0.6923076923,50248.0,62500.0,Suburb: Large,Baccalaureate Colleges: Arts & Sciences Focus,"full-time, more selective, lower transfer-in","small, highly residential",50230.0,0.80368,small,highly residential,full-time,more selective,lower transfer-in
Anna Maria College,Paxton,MA,Private nonprofit,New England,0.7057,898.0,0.2637,0.5455,0.6214,0.6903,9000.0,0.9712041885,53244.5,44000.0,Rural: Fringe,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, higher transfer-in","small, highly residential",38685.0,0.8792045454545454,small,highly residential,full-time,inclusive,higher transfer-in
Assumption University,Worcester,MA,Private nonprofit,New England,0.7924,1066.0,0.1099,0.6625,0.8099,0.6862,16375.0,0.9837008629,94969.0,54600.0,City: Midsize,Master's Colleges & Universities: Medium Programs,"full-time, inclusive, lower transfer-in","small, highly residential",40612.0,0.7438095238095238,small,highly residential,full-time,inclusive,lower transfer-in
Babson College,Wellesley,MA,Private nonprofit,New England,0.4034,1253.0,0.1329,0.9109,0.9168,0.3938,17125.0,0.9535783366,79930.0,83900.0,Suburb: Large,Special Focus Four-Year: Business & Management Schools,"full-time, more selective, lower transfer-in","small, highly residential",50866.0,0.60626936829559,small,highly residential,full-time,more selective,lower transfer-in
Bay Path University,Longmeadow,MA,Private nonprofit,New England,0.6642,972.0,0.3882,0.6066,0.7459,0.8297,8700.0,0.9740882917,36724.0,43300.0,Suburb: Large,Master's Colleges & Universities: Larger Programs,"medium full-time, inclusive, higher transfer-in","small, primarily nonresidential",33706.0,0.7784295612009238,small,primarily nonresidential,medium full-time,inclusive,higher transfer-in
Bentley University,Waltham,MA,Private nonprofit,New England,0.4258,1220.0,0.1229,0.8957,0.9341,0.5015,16375.0,0.9837799718,90000.0,71300.0,City: Small,Master's Colleges & Universities: Larger Programs,"full-time, more selective, lower transfer-in","medium, highly residential",40964.0,0.5745301542776998,medium,highly residential,full-time,more selective,lower transfer-in
Berklee College of Music,Boston,MA,Private nonprofit,New England,0.4249,,0.168,0.4666,0.7967,0.4748,11000.0,0.98,66632.5,30100.0,City: Large,Master's Colleges & Universities: Larger Programs,"medium full-time, selective, higher transfer-in","medium, primarily nonresidential",45126.0,1.499202657807309,medium,primarily nonresidential,medium full-time,selective,higher transfer-in
Boston Architectural College,Boston,MA,Private nonprofit,New England,,,0.173,0.1242,0.623,0.5413,8986.0,,38078.5,42000.0,City: Large,"Special Focus Four-Year: Arts, Music & Design Schools","full-time, inclusive, higher transfer-in","very small, primarily nonresidential",25199.0,0.5999761904761904,very small,primarily nonresidential,full-time,inclusive,higher transfer-in
Boston College,Chestnut Hill,MA,Private nonprofit,New England,0.3006,1343.0,0.0968,0.9128,0.9493,0.3767,16798.0,0.983497053,90800.0,65100.0,City: Small,Doctoral Universities: Very High Research Activity,"full-time, more selective, lower transfer-in","large, highly residential",52007.0,0.798878648233487,large,highly residential,full-time,more selective,lower transfer-in
